Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,035019,1910,01,32.6,Y
IDCJAC0002,035019,1910,02,30.9,Y
IDCJAC0002,035019,1910,03,29.1,Y
IDCJAC0002,035019,1910,04,26.8,Y
IDCJAC0002,035019,1910,05,26.8,Y
IDCJAC0002,035019,1910,06,22.9,Y
IDCJAC0002,035019,1910,07,23.3,Y
IDCJAC0002,035019,1910,08,25.5,Y
IDCJAC0002,035019,1910,09,28.3,Y
IDCJAC0002,035019,1910,10,32.2,Y
IDCJAC0002,035019,1910,11,31.6,Y
IDCJAC0002,035019,1910,12,35.8,Y
IDCJAC0002,035019,1911,01,28.3,Y
IDCJAC0002,035019,1911,02,30.2,Y
IDCJAC0002,035019,1911,03,30.8,Y
IDCJAC0002,035019,1911,04,28.2,Y
IDCJAC0002,035019,1911,05,25.4,Y
IDCJAC0002,035019,1911,06,22.9,Y
IDCJAC0002,035019,1911,07,23.6,Y
IDCJAC0002,035019,1911,08,25.6,Y
IDCJAC0002,035019,1911,09,29.2,Y
IDCJAC0002,035019,1911,10,32.2,Y
IDCJAC0002,035019,1911,11,35.1,Y
IDCJAC0002,035019,1911,12,38.2,Y
IDCJAC0002,035019,1912,01,37.3,Y
IDCJAC0002,035019,1912,02,35.9,Y
IDCJAC0002,035019,1912,03,33.2,Y
IDCJAC0002,035019,1912,04,30.4,Y
IDCJAC0002,035019,1912,05,25.7,Y
IDCJAC0002,035019,1912,06,21.4,Y
IDCJAC0002,035019,1912,07,22.6,Y
IDCJAC0002,035019,1912,08,24.9,Y
IDCJAC0002,035019,1912,09,29.4,Y
IDCJAC0002,035019,1912,10,32.4,Y
IDCJAC0002,035019,1912,11,34.7,Y
IDCJAC0002,035019,1912,12,36.5,Y
IDCJAC0002,035019,1913,01,30.7,Y
IDCJAC0002,035019,1913,02,29.9,Y
IDCJAC0002,035019,1913,03,30.3,Y
IDCJAC0002,035019,1913,04,28.6,Y
IDCJAC0002,035019,1913,05,22.1,Y
IDCJAC0002,035019,1913,06,21.1,Y
IDCJAC0002,035019,1913,07,23.3,Y
IDCJAC0002,035019,1913,08,25.2,Y
IDCJAC0002,035019,1913,09,29.1,Y
IDCJAC0002,035019,1913,10,32.7,Y
IDCJAC0002,035019,1913,11,38.3,Y
IDCJAC0002,035019,1913,12,36.0,Y
IDCJAC0002,035019,1914,01,32.8,Y
IDCJAC0002,035019,1914,02,30.5,Y
IDCJAC0002,035019,1914,03,30.6,Y
IDCJAC0002,035019,1914,04,31.0,Y
IDCJAC0002,035019,1914,05,26.2,Y
IDCJAC0002,035019,1914,06,22.6,Y
IDCJAC0002,035019,1914,07,21.5,Y
IDCJAC0002,035019,1914,08,24.5,Y
IDCJAC0002,035019,1914,09,27.5,Y
IDCJAC0002,035019,1914,10,28.1,Y
IDCJAC0002,035019,1914,11,33.7,Y
IDCJAC0002,035019,1914,12,35.4,Y
IDCJAC0002,035019,1915,01,34.1,Y
IDCJAC0002,035019,1915,02,35.9,Y
IDCJAC0002,035019,1915,03,34.1,Y
IDCJAC0002,035019,1915,04,31.2,Y
IDCJAC0002,035019,1915,05,25.2,Y
IDCJAC0002,035019,1915,06,24.9,Y
IDCJAC0002,035019,1915,07,25.8,Y
IDCJAC0002,035019,1915,08,26.3,Y
IDCJAC0002,035019,1915,09,32.8,Y
IDCJAC0002,035019,1915,10,32.9,Y
IDCJAC0002,035019,1915,11,36.5,Y
IDCJAC0002,035019,1915,12,33.2,Y
IDCJAC0002,035019,1916,01,35.3,Y
IDCJAC0002,035019,1916,02,36.6,Y
IDCJAC0002,035019,1916,03,33.7,Y
IDCJAC0002,035019,1916,04,29.3,Y
IDCJAC0002,035019,1916,05,25.9,Y
IDCJAC0002,035019,1916,06,23.6,Y
IDCJAC0002,035019,1916,07,20.7,Y
IDCJAC0002,035019,1916,08,24.3,Y
IDCJAC0002,035019,1916,09,26.4,Y
IDCJAC0002,035019,1916,10,31.1,Y
IDCJAC0002,035019,1916,11,31.2,Y
IDCJAC0002,035019,1916,12,29.6,Y
IDCJAC0002,035019,1917,01,31.6,Y
IDCJAC0002,035019,1917,02,29.3,Y
IDCJAC0002,035019,1917,03,29.2,Y
IDCJAC0002,035019,1917,04,27.9,Y
IDCJAC0002,035019,1917,05,24.2,Y
IDCJAC0002,035019,1917,06,21.3,Y
IDCJAC0002,035019,1917,07,25.0,Y
IDCJAC0002,035019,1917,08,22.7,Y
IDCJAC0002,035019,1917,09,27.1,Y
IDCJAC0002,035019,1917,10,28.8,Y
IDCJAC0002,035019,1917,11,29.9,Y
IDCJAC0002,035019,1917,12,30.6,Y
IDCJAC0002,035019,1918,01,28.3,Y
IDCJAC0002,035019,1918,02,29.8,Y
IDCJAC0002,035019,1918,03,28.8,Y
IDCJAC0002,035019,1918,04,26.4,Y
IDCJAC0002,035019,1918,05,23.8,Y
IDCJAC0002,035019,1918,06,24.7,Y
IDCJAC0002,035019,1918,07,22.2,Y
IDCJAC0002,035019,1918,08,24.9,Y
IDCJAC0002,035019,1918,09,26.9,Y
IDCJAC0002,035019,1918,10,34.0,Y
IDCJAC0002,035019,1918,11,32.6,Y
IDCJAC0002,035019,1918,12,35.1,Y
IDCJAC0002,035019,1919,01,35.0,Y
IDCJAC0002,035019,1919,02,32.7,Y
IDCJAC0002,035019,1919,03,34.1,Y
IDCJAC0002,035019,1919,04,28.8,Y
IDCJAC0002,035019,1919,05,23.9,Y
IDCJAC0002,035019,1919,06,23.5,Y
IDCJAC0002,035019,1919,07,22.4,Y
IDCJAC0002,035019,1919,08,24.5,Y
IDCJAC0002,035019,1919,09,28.8,Y
IDCJAC0002,035019,1919,10,33.1,Y
IDCJAC0002,035019,1919,11,33.9,Y
IDCJAC0002,035019,1919,12,36.2,Y
IDCJAC0002,035019,1920,01,33.3,Y
IDCJAC0002,035019,1920,02,32.8,Y
IDCJAC0002,035019,1920,03,32.1,Y
IDCJAC0002,035019,1920,04,27.7,Y
IDCJAC0002,035019,1920,05,24.5,Y
IDCJAC0002,035019,1920,06,24.0,Y
IDCJAC0002,035019,1920,07,23.0,Y
IDCJAC0002,035019,1920,08,25.3,Y
IDCJAC0002,035019,1920,09,27.9,Y
IDCJAC0002,035019,1920,10,29.9,Y
IDCJAC0002,035019,1920,11,32.9,Y
IDCJAC0002,035019,1920,12,34.3,Y
IDCJAC0002,035019,1921,01,31.7,Y
IDCJAC0002,035019,1921,02,30.7,Y
IDCJAC0002,035019,1921,03,29.2,Y
IDCJAC0002,035019,1921,04,29.3,Y
IDCJAC0002,035019,1921,05,27.8,Y
IDCJAC0002,035019,1921,06,24.3,Y
IDCJAC0002,035019,1921,07,23.2,Y
IDCJAC0002,035019,1921,08,23.4,Y
IDCJAC0002,035019,1921,09,26.5,Y
IDCJAC0002,035019,1921,10,29.8,Y
IDCJAC0002,035019,1921,11,35.2,Y
IDCJAC0002,035019,1921,12,34.7,Y
IDCJAC0002,035019,1922,01,35.6,Y
IDCJAC0002,035019,1922,02,30.6,Y
IDCJAC0002,035019,1922,03,31.8,Y
IDCJAC0002,035019,1922,04,30.6,Y
IDCJAC0002,035019,1922,05,26.7,Y
IDCJAC0002,035019,1922,06,23.8,Y
IDCJAC0002,035019,1922,07,21.2,Y
IDCJAC0002,035019,1922,08,25.8,Y
IDCJAC0002,035019,1922,09,30.4,Y
IDCJAC0002,035019,1922,10,33.2,Y
IDCJAC0002,035019,1922,11,36.6,Y
IDCJAC0002,035019,1922,12,36.1,Y
IDCJAC0002,035019,1923,01,34.8,Y
IDCJAC0002,035019,1923,02,34.7,Y
IDCJAC0002,035019,1923,03,33.2,Y
IDCJAC0002,035019,1923,04,28.3,Y
IDCJAC0002,035019,1923,05,29.6,Y
IDCJAC0002,035019,1923,06,22.8,Y
IDCJAC0002,035019,1923,07,22.3,Y
IDCJAC0002,035019,1923,08,24.8,Y
IDCJAC0002,035019,1923,09,30.5,Y
IDCJAC0002,035019,1923,10,33.2,Y
IDCJAC0002,035019,1923,11,35.8,Y
IDCJAC0002,035019,1923,12,36.5,Y
IDCJAC0002,035019,1924,01,38.1,Y
IDCJAC0002,035019,1924,02,33.3,Y
IDCJAC0002,035019,1924,03,32.2,Y
IDCJAC0002,035019,1924,04,27.9,Y
IDCJAC0002,035019,1924,05,26.2,Y
IDCJAC0002,035019,1924,06,22.7,Y
IDCJAC0002,035019,1924,07,23.5,Y
IDCJAC0002,035019,1924,08,25.3,Y
IDCJAC0002,035019,1924,09,29.9,Y
IDCJAC0002,035019,1924,10,33.9,Y
IDCJAC0002,035019,1924,11,34.1,Y
IDCJAC0002,035019,1924,12,32.9,Y
IDCJAC0002,035019,1925,01,33.2,Y
IDCJAC0002,035019,1925,02,35.6,Y
IDCJAC0002,035019,1925,03,32.4,Y
IDCJAC0002,035019,1925,04,30.0,Y
IDCJAC0002,035019,1925,05,26.9,Y
IDCJAC0002,035019,1925,06,23.5,Y
IDCJAC0002,035019,1925,07,23.1,Y
IDCJAC0002,035019,1925,08,25.0,Y
IDCJAC0002,035019,1925,09,26.4,Y
IDCJAC0002,035019,1925,10,33.7,Y
IDCJAC0002,035019,1925,11,34.6,Y
IDCJAC0002,035019,1925,12,36.9,Y
IDCJAC0002,035019,1926,01,37.3,Y
IDCJAC0002,035019,1926,02,37.9,Y
IDCJAC0002,035019,1926,03,35.4,Y
IDCJAC0002,035019,1926,04,33.6,Y
IDCJAC0002,035019,1926,05,27.4,Y
IDCJAC0002,035019,1926,06,24.8,Y
IDCJAC0002,035019,1926,07,25.7,Y
IDCJAC0002,035019,1926,08,27.9,Y
IDCJAC0002,035019,1926,09,26.4,Y
IDCJAC0002,035019,1926,10,33.8,Y
IDCJAC0002,035019,1926,11,35.9,Y
IDCJAC0002,035019,1926,12,35.7,Y
IDCJAC0002,035019,1927,01,33.8,Y
IDCJAC0002,035019,1927,02,31.5,Y
IDCJAC0002,035019,1927,03,31.3,Y
IDCJAC0002,035019,1927,04,28.6,Y
IDCJAC0002,035019,1927,05,26.7,Y
IDCJAC0002,035019,1927,06,24.1,Y
IDCJAC0002,035019,1927,07,23.3,Y
IDCJAC0002,035019,1927,08,25.9,Y
IDCJAC0002,035019,1927,09,29.1,Y
IDCJAC0002,035019,1927,10,31.2,Y
IDCJAC0002,035019,1927,11,33.9,Y
IDCJAC0002,035019,1927,12,30.8,Y
IDCJAC0002,035019,1928,01,33.0,Y
IDCJAC0002,035019,1928,02,31.6,Y
IDCJAC0002,035019,1928,03,29.8,Y
IDCJAC0002,035019,1928,04,29.8,Y
IDCJAC0002,035019,1928,05,24.1,Y
IDCJAC0002,035019,1928,06,21.4,Y
IDCJAC0002,035019,1928,07,22.9,Y
IDCJAC0002,035019,1928,08,26.0,Y
IDCJAC0002,035019,1928,09,32.3,Y
IDCJAC0002,035019,1928,10,35.3,Y
IDCJAC0002,035019,1928,11,33.2,Y
IDCJAC0002,035019,1928,12,33.4,Y
IDCJAC0002,035019,1929,01,34.3,Y
IDCJAC0002,035019,1929,02,33.4,Y
IDCJAC0002,035019,1929,03,31.6,Y
IDCJAC0002,035019,1929,04,27.7,Y
IDCJAC0002,035019,1929,05,25.6,Y
IDCJAC0002,035019,1929,06,21.2,Y
IDCJAC0002,035019,1929,07,22.0,Y
IDCJAC0002,035019,1929,08,25.9,Y
IDCJAC0002,035019,1929,09,27.7,Y
IDCJAC0002,035019,1929,10,32.9,Y
IDCJAC0002,035019,1929,11,35.9,Y
IDCJAC0002,035019,1929,12,36.2,Y
IDCJAC0002,035019,1930,01,32.3,Y
IDCJAC0002,035019,1930,02,30.7,Y
IDCJAC0002,035019,1930,03,31.3,Y
IDCJAC0002,035019,1930,04,29.3,Y
IDCJAC0002,035019,1930,05,23.8,Y
IDCJAC0002,035019,1930,06,19.2,Y
IDCJAC0002,035019,1930,07,20.2,Y
IDCJAC0002,035019,1930,08,22.3,Y
IDCJAC0002,035019,1930,09,28.6,Y
IDCJAC0002,035019,1930,10,30.7,Y
IDCJAC0002,035019,1930,11,35.5,Y
IDCJAC0002,035019,1930,12,34.9,Y
IDCJAC0002,035019,1931,01,37.2,Y
IDCJAC0002,035019,1931,02,34.7,Y
IDCJAC0002,035019,1931,03,33.9,Y
IDCJAC0002,035019,1931,04,31.2,Y
IDCJAC0002,035019,1931,05,28.2,Y
IDCJAC0002,035019,1931,06,25.8,Y
IDCJAC0002,035019,1931,07,23.4,Y
IDCJAC0002,035019,1931,08,26.3,Y
IDCJAC0002,035019,1931,09,28.8,Y
IDCJAC0002,035019,1931,10,29.9,Y
IDCJAC0002,035019,1931,11,32.4,Y
IDCJAC0002,035019,1931,12,33.9,Y
IDCJAC0002,035019,1932,01,34.1,Y
IDCJAC0002,035019,1932,02,36.9,Y
IDCJAC0002,035019,1932,03,33.6,Y
IDCJAC0002,035019,1932,04,31.0,Y
IDCJAC0002,035019,1932,05,25.3,Y
IDCJAC0002,035019,1932,06,22.1,Y
IDCJAC0002,035019,1932,07,23.0,Y
IDCJAC0002,035019,1932,08,24.3,Y
IDCJAC0002,035019,1932,09,28.4,Y
IDCJAC0002,035019,1932,10,33.0,Y
IDCJAC0002,035019,1932,11,34.0,Y
IDCJAC0002,035019,1932,12,36.4,Y
IDCJAC0002,035019,1933,01,37.1,Y
IDCJAC0002,035019,1933,02,32.3,Y
IDCJAC0002,035019,1933,03,34.6,Y
IDCJAC0002,035019,1933,04,30.2,Y
IDCJAC0002,035019,1933,05,26.0,Y
IDCJAC0002,035019,1933,06,22.0,Y
IDCJAC0002,035019,1933,07,20.4,Y
IDCJAC0002,035019,1933,08,21.1,Y
IDCJAC0002,035019,1933,09,26.2,Y
IDCJAC0002,035019,1933,10,29.7,Y
IDCJAC0002,035019,1933,11,29.2,Y
IDCJAC0002,035019,1933,12,32.2,Y
IDCJAC0002,035019,1934,01,35.2,Y
IDCJAC0002,035019,1934,02,32.3,Y
IDCJAC0002,035019,1934,03,31.7,Y
IDCJAC0002,035019,1934,04,30.1,Y
IDCJAC0002,035019,1934,05,26.4,Y
IDCJAC0002,035019,1934,06,23.6,Y
IDCJAC0002,035019,1934,07,23.7,Y
IDCJAC0002,035019,1934,08,25.7,Y
IDCJAC0002,035019,1934,09,29.2,Y
IDCJAC0002,035019,1934,10,31.2,Y
IDCJAC0002,035019,1934,11,33.9,Y
IDCJAC0002,035019,1934,12,37.0,Y
IDCJAC0002,035019,1935,01,37.7,Y
IDCJAC0002,035019,1935,02,37.7,Y
IDCJAC0002,035019,1935,03,34.1,Y
IDCJAC0002,035019,1935,04,30.6,Y
IDCJAC0002,035019,1935,05,26.9,Y
IDCJAC0002,035019,1935,06,23.7,Y
IDCJAC0002,035019,1935,07,23.2,Y
IDCJAC0002,035019,1935,08,25.1,Y
IDCJAC0002,035019,1935,09,28.8,Y
IDCJAC0002,035019,1935,10,33.7,Y
IDCJAC0002,035019,1935,11,35.2,Y
IDCJAC0002,035019,1935,12,38.1,Y
IDCJAC0002,035019,1936,01,35.7,Y
IDCJAC0002,035019,1936,02,32.5,Y
IDCJAC0002,035019,1936,03,28.5,Y
IDCJAC0002,035019,1936,04,28.8,Y
IDCJAC0002,035019,1936,05,25.9,Y
IDCJAC0002,035019,1936,06,21.5,Y
IDCJAC0002,035019,1936,07,22.9,Y
IDCJAC0002,035019,1936,08,28.1,Y
IDCJAC0002,035019,1936,09,29.9,Y
IDCJAC0002,035019,1936,10,34.9,Y
IDCJAC0002,035019,1936,11,36.2,Y
IDCJAC0002,035019,1936,12,34.8,Y
IDCJAC0002,035019,1937,01,37.1,Y
IDCJAC0002,035019,1937,02,33.3,Y
IDCJAC0002,035019,1937,03,31.2,Y
IDCJAC0002,035019,1937,04,29.4,Y
IDCJAC0002,035019,1937,05,28.0,Y
IDCJAC0002,035019,1937,06,22.2,Y
IDCJAC0002,035019,1937,07,21.8,Y
IDCJAC0002,035019,1937,08,25.5,Y
IDCJAC0002,035019,1937,09,29.7,Y
IDCJAC0002,035019,1937,10,33.8,Y
IDCJAC0002,035019,1937,11,35.3,Y
IDCJAC0002,035019,1937,12,37.8,Y
IDCJAC0002,035019,1938,01,37.1,Y
IDCJAC0002,035019,1938,02,34.9,Y
IDCJAC0002,035019,1938,03,33.4,Y
IDCJAC0002,035019,1938,04,32.3,Y
IDCJAC0002,035019,1938,05,27.6,Y
IDCJAC0002,035019,1938,06,21.8,Y
IDCJAC0002,035019,1938,07,21.1,Y
IDCJAC0002,035019,1938,08,23.3,Y
IDCJAC0002,035019,1938,09,27.9,Y
IDCJAC0002,035019,1938,10,32.0,Y
IDCJAC0002,035019,1938,11,33.2,Y
IDCJAC0002,035019,1938,12,36.9,Y
IDCJAC0002,035019,1939,01,36.1,Y
IDCJAC0002,035019,1939,02,32.8,Y
IDCJAC0002,035019,1939,03,32.4,Y
IDCJAC0002,035019,1939,04,28.4,Y
IDCJAC0002,035019,1939,05,26.6,Y
IDCJAC0002,035019,1939,06,23.2,Y
IDCJAC0002,035019,1939,07,21.2,Y
IDCJAC0002,035019,1939,08,24.2,Y
IDCJAC0002,035019,1939,09,27.3,Y
IDCJAC0002,035019,1939,10,30.7,Y
IDCJAC0002,035019,1939,11,34.9,Y
IDCJAC0002,035019,1939,12,36.0,Y
IDCJAC0002,035019,1940,01,38.7,Y
IDCJAC0002,035019,1940,02,30.9,Y
IDCJAC0002,035019,1940,03,28.6,Y
IDCJAC0002,035019,1940,04,27.2,Y
IDCJAC0002,035019,1940,05,25.7,Y
IDCJAC0002,035019,1940,06,23.6,Y
IDCJAC0002,035019,1940,07,23.1,Y
IDCJAC0002,035019,1940,08,24.6,Y
IDCJAC0002,035019,1940,09,28.5,Y
IDCJAC0002,035019,1940,10,33.6,Y
IDCJAC0002,035019,1940,11,35.4,Y
IDCJAC0002,035019,1940,12,35.4,Y
IDCJAC0002,035019,1941,01,30.6,Y
IDCJAC0002,035019,1941,02,31.3,Y
IDCJAC0002,035019,1941,03,31.6,Y
IDCJAC0002,035019,1941,04,26.3,Y
IDCJAC0002,035019,1941,05,23.7,Y
IDCJAC0002,035019,1941,06,20.9,Y
IDCJAC0002,035019,1941,07,22.9,Y
IDCJAC0002,035019,1941,08,24.3,Y
IDCJAC0002,035019,1941,09,30.1,Y
IDCJAC0002,035019,1941,10,33.2,Y
IDCJAC0002,035019,1941,11,34.0,Y
IDCJAC0002,035019,1941,12,35.6,Y
IDCJAC0002,035019,1942,01,37.3,Y
IDCJAC0002,035019,1942,02,32.1,Y
IDCJAC0002,035019,1942,03,35.7,Y
IDCJAC0002,035019,1942,04,29.7,Y
IDCJAC0002,035019,1942,05,27.0,Y
IDCJAC0002,035019,1942,06,23.7,Y
IDCJAC0002,035019,1942,07,22.4,Y
IDCJAC0002,035019,1942,08,27.9,Y
IDCJAC0002,035019,1942,09,29.7,Y
IDCJAC0002,035019,1942,10,31.7,Y
IDCJAC0002,035019,1942,11,33.2,Y
IDCJAC0002,035019,1942,12,31.8,Y
IDCJAC0002,035019,1943,01,33.7,Y
IDCJAC0002,035019,1943,02,31.9,Y
IDCJAC0002,035019,1943,03,33.9,Y
IDCJAC0002,035019,1943,04,31.6,Y
IDCJAC0002,035019,1943,05,26.1,Y
IDCJAC0002,035019,1943,06,21.6,Y
IDCJAC0002,035019,1943,07,24.7,Y
IDCJAC0002,035019,1943,08,26.6,Y
IDCJAC0002,035019,1943,09,28.8,Y
IDCJAC0002,035019,1943,10,32.4,Y
IDCJAC0002,035019,1943,11,35.2,Y
IDCJAC0002,035019,1943,12,37.1,Y
IDCJAC0002,035019,1944,01,37.5,Y
IDCJAC0002,035019,1944,02,32.6,Y
IDCJAC0002,035019,1944,03,30.4,Y
IDCJAC0002,035019,1944,04,30.8,Y
IDCJAC0002,035019,1944,05,26.2,Y
IDCJAC0002,035019,1944,06,22.2,Y
IDCJAC0002,035019,1944,07,23.6,Y
IDCJAC0002,035019,1944,08,25.7,Y
IDCJAC0002,035019,1944,09,29.5,Y
IDCJAC0002,035019,1944,10,31.9,Y
IDCJAC0002,035019,1944,11,36.4,Y
IDCJAC0002,035019,1944,12,36.7,Y
IDCJAC0002,035019,1945,01,35.8,Y
IDCJAC0002,035019,1945,02,36.5,Y
IDCJAC0002,035019,1945,03,34.3,Y
IDCJAC0002,035019,1945,04,31.4,Y
IDCJAC0002,035019,1945,05,26.1,Y
IDCJAC0002,035019,1945,06,24.6,Y
IDCJAC0002,035019,1945,07,22.0,Y
IDCJAC0002,035019,1945,08,28.1,Y
IDCJAC0002,035019,1945,09,29.8,Y
IDCJAC0002,035019,1945,10,30.4,Y
IDCJAC0002,035019,1945,11,34.1,Y
IDCJAC0002,035019,1945,12,35.6,Y
IDCJAC0002,035019,1946,01,34.7,Y
IDCJAC0002,035019,1946,02,35.3,Y
IDCJAC0002,035019,1946,03,32.4,Y
IDCJAC0002,035019,1946,04,31.3,Y
IDCJAC0002,035019,1946,05,29.4,Y
IDCJAC0002,035019,1946,06,24.2,Y
IDCJAC0002,035019,1946,07,25.9,Y
IDCJAC0002,035019,1946,08,28.5,Y
IDCJAC0002,035019,1946,09,30.4,Y
IDCJAC0002,035019,1946,10,32.9,Y
IDCJAC0002,035019,1946,11,36.1,Y
IDCJAC0002,035019,1946,12,36.8,Y
IDCJAC0002,035019,1947,01,39.0,Y
IDCJAC0002,035019,1947,02,30.3,Y
IDCJAC0002,035019,1947,03,33.5,Y
IDCJAC0002,035019,1947,04,31.0,Y
IDCJAC0002,035019,1947,05,26.7,Y
IDCJAC0002,035019,1947,06,25.9,Y
IDCJAC0002,035019,1947,07,25.3,Y
IDCJAC0002,035019,1947,08,26.5,Y
IDCJAC0002,035019,1947,09,27.5,Y
IDCJAC0002,035019,1947,10,30.9,Y
IDCJAC0002,035019,1947,11,34.6,Y
IDCJAC0002,035019,1947,12,35.1,Y
IDCJAC0002,035019,1948,01,35.0,Y
IDCJAC0002,035019,1948,02,35.6,Y
IDCJAC0002,035019,1948,03,34.5,Y
IDCJAC0002,035019,1948,04,30.8,Y
IDCJAC0002,035019,1948,05,27.4,Y
IDCJAC0002,035019,1948,06,24.2,Y
IDCJAC0002,035019,1948,07,23.4,Y
IDCJAC0002,035019,1948,08,26.4,Y
IDCJAC0002,035019,1948,09,29.6,Y
IDCJAC0002,035019,1948,10,34.3,Y
IDCJAC0002,035019,1948,11,36.1,Y
IDCJAC0002,035019,1948,12,36.3,Y
IDCJAC0002,035019,1949,01,35.3,Y
IDCJAC0002,035019,1949,02,34.3,Y
IDCJAC0002,035019,1949,03,30.7,Y
IDCJAC0002,035019,1949,04,27.4,Y
